distance_km_total,success_pct,collisions_per_km,lane_inv_per_km,lane_inv_per_100m,off_center_m,heading_err,mean_speed_kmh,max_speed_kmh,episodes,method,Method,seed
5.240673877716062,51.5625,0.19081515532804152,107.81056276034346,10.78105627603434,0.8889360425528139,0.01705987227614964,19.399817928671837,28.204889863729477,64,sem_rollout_aux,sem_rollout_aux,3
5.314958267211912,51.5625,0.18814823178744805,96.89633937053574,9.689633937053571,0.9448312411550432,0.01775428531982466,19.96944023668766,28.604342103004456,64,sem_rollout_aux,sem_rollout_aux,4
6.157194789886471,54.6875,2.111351101211417,110.27749213250401,11.027749213250393,1.0527355165686458,0.02313132358540311,27.071143925189972,41.31604900956154,64,semsty_noloss,semsty_noloss,0
6.151757507324216,51.5625,1.300441376383137,120.29082731544017,12.029082731544014,1.05074932705611,0.023376860714051817,27.41042697429657,41.630383253097534,64,semsty_noloss,semsty_noloss,1
6.358883457183835,57.8125,1.415342813026776,111.18304097888118,11.118304097888114,1.0085639636963606,0.022803863554145164,27.4865363240242,42.61019480228424,64,semsty_noloss,semsty_noloss,2
6.235738960266111,54.6875,1.7640250931111097,114.18053329955546,11.418053329955542,1.046451632399112,0.0229996307753026,27.520477145910263,42.40699625015259,64,semsty_noloss,semsty_noloss,3
6.041727470397947,54.6875,1.158609029337587,118.34363656805353,11.834363656805348,1.0277968770824373,0.021858615960809354,26.960509926080704,42.1194349527359,64,semsty_noloss,semsty_noloss,4
5.059140947341916,59.375,0.0,126.70135239793682,12.670135239793673,0.8748944799881428,0.021567808005784124,17.53103758394718,25.83094710111618,64,ours_full_aux,full_aux,0
4.740783390045163,56.25,0.0,133.31130068652627,13.331130068652616,0.8662700825370848,0.022328274739265862,16.93558055907488,25.1965893805027,64,ours_full_aux,full_aux,1
4.782976539611813,54.6875,0.0,126.90842093264045,12.690842093264036,0.9149882819037884,0.022753560682758637,16.974376529455185,25.057215809822083,64,ours_full_aux,full_aux,2
4.910190595626828,57.8125,0.0,149.07771617907105,14.907771617907093,0.8944627214223146,0.023122411177609995,17.104963332414627,25.969967663288116,64,ours_full_aux,full_aux,3
4.778890752792355,56.25,0.0,132.24826276489284,13.224826276489276,0.9046478152740747,0.023095700482372146,17.203867338597775,25.579113870859146,64,ours_full_aux,full_aux,4
5.300540365219113,32.8125,0.0,88.85886486038105,8.8858864860381,1.1924454127438366,0.018711241180426393,25.670780062675476,40.409412771463394,64,dreamer_std,dreamer_std,0
5.079335840225217,34.375,0.0,86.23174638922461,8.623174638922457,1.163734051398933,0.018535892719228245,25.025979712605476,38.73854213953018,64,dreamer_std,dreamer_std,1
5.157356592178342,32.8125,0.0,90.93805937547278,9.093805937547273,1.2270672139711678,0.018992786855960682,25.16121704876423,39.33989670872688,64,dreamer_std,dreamer_std,2
4.979271976470944,34.375,0.0,91.57965304060168,9.157965304060161,1.1693849423900247,0.01840943576098648,25.15969182550907,39.198616564273834,64,dreamer_std,dreamer_std,3
5.112987396240232,32.8125,0.0,81.16585624779063,8.11658562477906,1.2037484697066247,0.018607342870382078,25.378509640693665,38.97932809591293,64,dreamer_std,dreamer_std,4
5.23366324996948,50.0,0.0,104.70677493497422,10.470677493497416,0.9706133350264281,0.018915308704890728,23.26428547501564,33.839299619197845,64,domain_adv_small_grl,domain_adv_small_grl,0
5.273598276138303,51.5625,0.0,106.5686027968622,10.656860279686214,0.9980620604474097,0.01957800571835828,23.46223023533821,34.38628098368645,64,domain_adv_small_grl,domain_adv_small_grl,1
5.2768731594085665,46.875,0.0,116.3567858183685,11.635678581836842,0.9638762045651674,0.01917832589970199,22.321531981229782,33.60501205921173,64,domain_adv_small_grl,domain_adv_small_grl,2
5.0779878578186,46.875,0.0,101.418123559916,10.141812355991593,0.9746764027513564,0.019175967448973055,22.76493936777115,33.061783730983734,64,domain_adv_small_grl,domain_adv_small_grl,3
5.255442728042599,50.0,0.0,103.70201488295668,10.37020148829566,0.9363935191649944,0.018202009843662326,22.925256088376045,34.03862124681473,64,domain_adv_small_grl,domain_adv_small_grl,4
6.139554248809812,59.375,0.8143913706714585,102.61331270460377,10.261331270460374,0.9933990715071559,0.02018601937743365,28.26291286945343,44.123261064291,64,domain_adv_large_grl,domain_adv_large_grl,0
5.804093029022214,53.125,0.3445844148257785,96.65592835863087,9.665592835863082,0.9919140867423266,0.019447858991043135,28.167429327964783,44.30205115675926,64,domain_adv_large_grl,domain_adv_large_grl,1
6.043833374023436,53.125,0.6618316145498173,107.2167215570704,10.721672155707036,0.9687361803371459,0.01865208987146611,28.083039820194244,43.16472443938255,64,domain_adv_large_grl,domain_adv_large_grl,2
5.898645561218258,53.125,0.8476522191591626,106.29558828255898,10.629558828255892,0.941065976396203,0.01953938519000071,28.521452605724335,44.907357692718506,64,domain_adv_large_grl,domain_adv_large_grl,3
6.087657077789303,50.0,0.8213340429838601,107.75902643948245,10.775902643948239,1.011177821084857,0.01915469040977763,28.419478088617325,44.30868682265282,64,domain_adv_large_grl,domain_adv_large_grl,4
4.822714214324948,35.9375,0.0,111.55543871995859,11.155543871995853,1.014950045850128,0.018646682794496834,17.903445348143578,24.97733172774315,64,policy_sem_noloss,policy_sem_noloss,0
4.785852897644039,37.5,0.0,115.13099374016366,11.513099374016356,1.0067988983355463,0.019471380976028692,17.765590384602547,24.676650762557983,64,policy_sem_noloss,policy_sem_noloss,1
4.940804924011228,40.625,0.0,124.87843772206332,12.487843772206327,1.022200204897672,0.019041226340050295,18.208771243691444,25.304993987083435,64,policy_sem_noloss,policy_sem_noloss,2
4.865051353454588,42.1875,0.0,111.20129279125602,11.120129279125598,1.0137145104818046,0.018787903281918213,17.8293689340353,24.853318572044373,64,policy_sem_noloss,policy_sem_noloss,3
4.840917739868161,37.5,0.0,114.6476824898733,11.464768248987323,0.9853881131857634,0.018272890840307764,18.347114220261574,25.061940878629684,64,policy_sem_noloss,policy_sem_noloss,4
